     orb #      occ_a      occ_b 
         0    0.99890    0.99890 
         1    0.99885    0.99885 
         2    0.99882    0.99882 
         3    0.99849    0.99849 
         4    0.99838    0.99838 
         5    0.99619    0.99619 
         6    0.99603    0.99603 
         7    0.97752    0.97752 
         8    0.97723    0.97723 
         9    0.39903    0.39903 
        10    0.28364    0.28364 
        11    0.27771    0.27771 
        12    0.02611    0.02611 
        13    0.02597    0.02597 
        14    0.00788    0.00788 
        15    0.00784    0.00784 
        16    0.00770    0.00770 
        17    0.00765    0.00765 
        18    0.00293    0.00293 
        19    0.00287    0.00287 
